//===================================================================================
// zGameServer
// ----------------------------------------------------------------------------------
// Description:	Master skill tree data
// ----------------------------------------------------------------------------------
// Revision: 	17:21 09.08.2013
//===================================================================================

// ----------------------------------------------------------------------------------
//	Class	Attr	Point	MaxUP	Arrow	Parent1	Parent2	Skill	Value
// ----------------------------------------------------------------------------------
//-> CLASS_KNIGHT
1	1	0	1	20	4	0	0	300	12.04
4	1	0	1	20	0	0	0	301	614.08
6	1	0	1	20	3	0	0	302	511.73
7	1	0	1	20	3	0	0	303	1.81
8	1	0	1	20	3	0	0	304	1.20
9	1	0	1	20	4	300	0	305	12.04
10	1	0	1	20	0	302	0	306	1.20
11	1	0	1	20	3	303	0	307	1.20
12	1	0	1	20	3	304	0	308	1.20
14	1	0	1	20	3	0	0	309	60.21
15	1	0	1	20	0	307	0	310	1.20
16	1	0	1	20	0	308	0	311	1.20
17	1	0	1	20	0	305	0	312	12.04
18	1	0	1	20	0	309	0	313	1.20
23	1	0	1	20	1	0	0	315	6.32
24	1	0	1	20	0	315	0	316	1.00
25	1	0	1	20	0	0	0	317	12.04
26	1	0	1	20	0	0	0	318	12.04
27	1	0	1	20	0	0	0	319	12.04
28	1	0	1	20	0	0	0	320	12.04
30	1	0	1	20	3	0	0	322	12.04
34	1	0	1	20	0	322	0	324	12.04
37	1	1	1	20	0	0	0	325	511.73
41	1	1	1	20	0	0	0	326	6.32
42	1	1	1	20	0	0	0	327	8.83
43	1	1	1	20	0	0	0	328	8.83
44	1	1	1	20	0	0	0	329	8.83
45	1	1	1	20	3	0	0	330	8.83
46	1	1	1	20	3	0	0	331	5.02
49	1	1	1	20	0	330	0	332	1.20
50	1	1	1	20	0	331	0	333	1.20
51	1	1	1	20	3	0	0	334	102.34
52	1	1	1	20	0	0	0	335	5.02
53	1	1	1	20	3	0	0	336	5.02
54	1	1	1	20	3	0	0	337	5.02
55	1	1	1	20	3	334	0	338	102.34
57	1	1	1	20	3	336	0	339	1.81
58	1	1	1	20	3	337	0	340	1.81
59	1	1	1	20	0	338	0	341	27.69
61	1	1	1	20	0	339	0	342	1.81
62	1	1	1	20	0	340	0	343	1.20
65	1	1	1	20	0	0	0	345	1.81
66	1	1	10	10	3	0	0	344	-1.00
70	1	1	1	20	0	344	0	346	5.02
73	1	2	1	20	0	0	0	347	818.77
77	1	2	1	20	3	0	0	348	8.83
78	1	2	1	20	3	0	0	349	5.02
79	1	2	1	20	3	0	0	350	6.32
80	1	2	1	20	3	0	0	351	6.32
81	1	2	1	20	0	348	0	352	11.54
82	1	2	1	10	0	349	0	353	1.00
83	1	2	1	20	0	350	0	354	1.20
84	1	2	1	20	0	351	0	355	1.20
85	1	2	1	20	3	0	0	356	1.81
86	1	2	1	20	0	0	0	357	7.22
87	1	2	1	20	0	0	0	358	9.14
88	1	2	1	20	3	0	0	359	43.18
89	1	2	1	20	3	356	0	360	1.81
90	1	2	1	20	3	0	0	361	5.02
92	1	2	1	20	0	359	0	362	43.18
93	1	2	1	20	0	360	0	363	1.81
94	1	2	1	20	0	361	0	364	6.32
96	1	2	1	20	3	0	0	366	1.00
98	1	2	1	20	0	0	0	367	1.00
99	1	2	1	20	3	0	0	368	1.00
100	1	2	1	20	0	366	0	369	1.00
102	1	2	1	20	3	0	0	370	1.00
103	1	2	1	20	0	368	0	372	1.00
106	1	2	1	20	0	370	0	371	1.00
//-> CLASS_WIZARD
1	2	0	1	20	4	0	0	300	12.04
4	2	0	1	20	0	0	0	301	614.08
6	2	0	1	20	3	0	0	302	511.73
7	2	0	1	20	3	0	0	303	1.81
8	2	0	1	20	3	0	0	304	1.20
9	2	0	1	20	4	300	0	305	12.04
10	2	0	1	20	0	302	0	306	1.20
11	2	0	1	20	3	303	0	307	1.20
12	2	0	1	20	3	304	0	308	1.20
14	2	0	1	20	3	0	0	309	60.21
15	2	0	1	20	0	307	0	310	1.20
16	2	0	1	20	0	308	0	311	1.20
17	2	0	1	20	0	305	0	312	12.04
18	2	0	1	20	0	309	0	313	1.20
23	2	0	1	20	1	0	0	315	6.32
24	2	0	1	20	0	315	0	316	1.00
25	2	0	1	20	0	0	0	317	12.04
26	2	0	1	20	0	0	0	318	12.04
27	2	0	1	20	0	0	0	319	12.04
28	2	0	1	20	0	0	0	320	12.04
30	2	0	1	20	3	0	0	375	12.04
34	2	0	1	20	0	375	0	377	12.04
37	2	1	1	20	0	0	0	325	511.73
41	2	1	1	20	3	0	0	378	8.83
42	2	1	1	20	3	0	0	379	8.83
43	2	1	1	20	3	0	0	380	1.20
45	2	1	1	20	0	378	0	381	5.02
46	2	1	1	20	0	379	0	382	8.83
47	2	1	1	20	0	380	0	383	1.20
48	2	1	1	20	3	0	0	384	6.32
49	2	1	1	20	1	0	0	385	6.32
50	2	1	1	20	0	385	0	386	5.02
51	2	1	1	20	3	0	0	334	102.34
52	2	1	1	20	0	384	0	387	5.02
54	2	1	1	20	4	0	0	388	6.32
55	2	1	1	20	3	334	0	338	102.34
56	2	1	1	20	3	0	0	389	6.32
57	2	1	1	20	4	0	0	390	8.83
59	2	1	1	20	0	338	0	341	27.69
60	2	1	1	20	3	389	0	391	5.02
62	2	1	1	20	0	388	0	392	5.02
64	2	1	1	20	0	391	0	393	1.20
65	2	1	1	20	0	390	0	394	1.20
66	2	1	10	10	3	0	0	495	-1.00
70	2	1	1	20	0	495	0	497	5.02
73	2	2	1	20	0	0	0	347	818.77
77	2	2	1	20	3	0	0	397	5.02
78	2	2	1	20	3	0	0	398	8.83
79	2	2	1	20	3	0	0	399	8.03
81	2	2	1	10	0	397	0	400	1.00
82	2	2	1	20	0	398	0	401	11.54
